LNR,RESPONSE
1754,0.047784533
1770,0.046482973
1465,0.02207256
1470,0.021592395
1478,0.027432188
1782,0.020781377
1485,0.02632409
1519,0.043596704
1835,0.04678217
1522,0.022401024
1539,0.022851733
1853,0.049951315
1856,0.03945643
2502,0.024409516
2182,0.04920673
2191,0.037177924
2522,0.045405783
2530,0.05683422
2215,0.02226025
2550,0.0458594
2570,0.02658105
2574,0.021650136
2579,0.026121655
2247,0.054330133
2674,0.020974519
11434,0.023640003
11122,0.040760558
11127,0.050680123
11443,0.04219303
11170,0.028818512
11191,0.0247307
11198,0.042141877
10936,0.028177794
11244,0.029070482
11247,0.035829816
11252,0.025461704
11259,0.028144598
10945,0.021343749
10951,0.020618428
11271,0.04432208
10963,0.04542724
11282,0.026308656
11291,0.030251201
10980,0.02248451
10994,0.0230531
10998,0.028818512
11303,0.032049827
11630,0.021425875
11636,0.02156993
11949,0.02234663
11950,0.05721258
11956,0.04465334
11648,0.028818512
11653,0.035484593
11967,0.021971678
11972,0.021308225
11975,0.024329973
12110,0.023443785
12113,0.045232967
11712,0.021751205
11716,0.028146563
12000,0.023542227
11722,0.038392946
12023,0.028818512
12046,0.021179892
11762,0.028144598
12071,0.021938726
12077,0.021138355
11785,0.051339842
11788,0.024500422
11790,0.023032017
11800,0.044674013
11806,0.021928359
11816,0.021062078
11505,0.024051016
11837,0.022288067
11531,0.038931124
11848,0.024066709
11854,0.0213181
11877,0.02197305
11563,0.020722015
11567,0.02420225
11894,0.024757005
11906,0.021736575
11917,0.028818512
11610,0.028818512
11923,0.02416276
12596,0.024082948
12603,0.020765377
12608,0.02688227
12633,0.02523334
12637,0.02677985
21484,0.028144598
21184,0.022418924
21247,0.02348781
20991,0.043277796
21018,0.024570674
21019,0.04044763
21047,0.021796735
21054,0.021034569
21374,0.02279999
21392,0.021899145
21713,0.022352884
22019,0.021072216
22025,0.043147445
21722,0.04150261
21728,0.022454457
22039,0.028818512
22044,0.023470247
61900,0.024119914
62548,0.037085135
63176,0.023308042
64473,0.043839883
64779,0.05551944
64780,0.023275128
64784,0.022745151
65105,0.028818512
65431,0.042581793
65433,0.05368469
66055,0.022107217
66071,0.028818512
61280,0.058872156
61281,0.0418579
61284,0.024794407
61597,0.021882366
61606,0.022154294
62235,0.04581185
62240,0.021819549
62241,0.02402689
62555,0.043386128
62557,0.028804282
62565,0.021016464
62566,0.038783327
63515,0.022557491
63524,0.07186246
64797,0.02096589
65116,0.028146563
75249,0.024252232
75253,0.04717528
75575,0.029601876
76212,0.023458233
71422,0.021001214
72059,0.036242124
72060,0.024519559
72383,0.02134419
72386,0.02354365
72700,0.025549905
72715,0.020783601
73028,0.026062753
73346,0.022089323
73658,0.022386754
73662,0.047004588
73666,0.028823642
73668,0.031059219
73985,0.07514535
74299,0.021287376
74310,0.04410571
74312,0.045996737
74619,0.02348777
74620,0.020612044
74627,0.021726307
74938,0.023597414
74952,0.02359998
75911,0.02213079
75913,0.022594893
76221,0.022673469
76227,0.023694402
71448,0.022018837
15887,0.021670127
15498,0.021174466
15504,0.047486626
15507,0.021969844
15521,0.022280566
24403,0.022301301
24100,0.04516247
24436,0.02382504
24440,0.024853501
24442,0.028177794
24148,0.024746811
24149,0.021721207
24155,0.024318742
24458,0.021465281
24169,0.037860326
24477,0.05005289
24479,0.022271575
24486,0.026265087
24190,0.037664074
24515,0.041748803
24214,0.06068446
25183,0.028818512
25207,0.02106585
24889,0.03883152
24890,0.021853821
25226,0.03381795
25232,0.02876822
25244,0.021854857
25339,0.02519508
25355,0.04836612
24958,0.023251064
25277,0.026230091
25286,0.036219742
24988,0.028818512
25298,0.021732038
25309,0.038717814
25315,0.020873839
25014,0.029601876
25322,0.022742718
25333,0.044362508
25025,0.033955857
24726,0.03174836
24735,0.028144598
25055,0.022702368
25056,0.02457303
24746,0.04048229
25061,0.02137187
25067,0.021059783
25074,0.022405714
24773,0.021760104
25080,0.028144598
25086,0.040164422
25088,0.023317153
24777,0.026407229
24796,0.024365412
25104,0.022097148
24806,0.030382415
25118,0.020838322
24822,0.029601876
82811,0.040064715
83449,0.06427126
83459,0.028144598
83770,0.028818512
84091,0.021716751
84096,0.02249463
84737,0.03712768
85048,0.028113404
85049,0.039425064
85051,0.027865762
85369,0.023773799
85374,0.03301821
85380,0.03404117
82190,0.020667002
82505,0.030317754
82515,0.022785382
82517,0.021668328
82821,0.035076734
83140,0.03325643
788,0.021486472
1102,0.022004126
1109,0.021069178
821,0.02062446
829,0.022803769
837,0.04472774
845,0.029550048
1163,0.04052421
861,0.028144598
899,0.021680892
1207,0.04290945
906,0.021526087
1221,0.051850826
1545,0.023365673
1546,0.05392351
1555,0.025730515
1556,0.045893464
1879,0.022085018
1885,0.03768982
1593,0.021352561
1902,0.046367284
1611,0.0207256
1921,0.020628804
1927,0.036112662
1651,0.022076385
1978,0.041992806
1718,0.025909508
1722,0.020788003
1734,0.03931582
41705,0.026761692
41711,0.028818512
41712,0.021906996
42029,0.022508439
42347,0.03396799
42352,0.023150623
42353,0.022077713
42671,0.03322424
42987,0.02293317
43310,0.024802214
43627,0.022011243
43629,0.02239829
43945,0.03144916
43953,0.024150534
43954,0.06598831
43961,0.028655974
44280,0.023209117
44917,0.023439545
44924,0.044892862
44927,0.02284764
45244,0.022222288
45570,0.059792567
45584,0.038836602
41721,0.021145381
41739,0.028818512
42054,0.03730486
42369,0.022890007
42689,0.029051429
43019,0.021459179
43331,0.042911958
51328,0.031015368
51644,0.03806878
51653,0.04121841
51969,0.029871622
52308,0.0450216
52310,0.027728833
52626,0.04558662
52638,0.021645246
52940,0.02311134
52954,0.051416628
55194,0.03057944
55196,0.032941017
55526,0.028818512
55847,0.023561966
55848,0.028177794
51024,0.028818512
51031,0.021700313
51342,0.03869354
51348,0.03143638
51666,0.026730709
51674,0.021306047
51680,0.04593336
52331,0.022856232
53302,0.028144598
82163,0.045112234
82481,0.022549307
82498,0.035113283
55852,0.028144598
55858,0.023061847
55859,0.021174842
51037,0.028144598
51039,0.023138957
51683,0.038939677
51685,0.02255035
51695,0.031688184
51702,0.025153942
52343,0.04783536
52353,0.028113404
53314,0.028818512
53322,0.028936697
53950,0.047999505
54597,0.024927108
54925,0.022593118
55245,0.04815152
55558,0.029649882
55882,0.03431151
51384,0.025718445
51703,0.03664625
51706,0.027240235
51711,0.04721876
52041,0.02117794
52047,0.02749212
52369,0.031454396
52689,0.026150601
53331,0.023354776
53341,0.022305831
63455,0.03989418
63780,0.021670118
63783,0.028144598
64096,0.025101688
64104,0.021404939
64109,0.023162596
64422,0.027310437
65391,0.028177794
65705,0.021975627
65709,0.02126315
61568,0.029157221
62203,0.02273706
62850,0.022424625
62851,0.04797454
63164,0.026882213
63491,0.030189538
63796,0.02470722
63799,0.04984884
63802,0.020744178
63812,0.029056257
64127,0.023055268
64449,0.035000097
64771,0.021877747
65082,0.028818512
65399,0.020719584
66039,0.028818512
66048,0.021032212
71758,0.044176746
72077,0.028144598
72087,0.028818512
72405,0.03650816
72723,0.024995735
72735,0.0252326
73046,0.03107929
73682,0.021084934
73694,0.026401944
73696,0.036654837
74317,0.03955422
74974,0.032837577
75286,0.02256737
75605,0.02067284
75612,0.028113404
75929,0.03182854
76239,0.026693657
71471,0.022459608
71776,0.020672645
71779,0.029601876
72112,0.023857933
72417,0.021374516
72420,0.022224152
72425,0.04282466
73073,0.022837162
73393,0.023279198
73714,0.03287643
74337,0.045811236
74347,0.022802286
74354,0.047628984
74666,0.02164183
74667,0.028144598
74990,0.045122728
75949,0.026102096
75952,0.021924995
71486,0.038655106
71805,0.037402645
71813,0.041978717
72130,0.022861127
72437,0.024465824
82469,0.028177794
82788,0.024889804
82793,0.028113404
83111,0.02889432
83113,0.030190703
83420,0.05322683
83425,0.026169352
83428,0.028177794
83433,0.02488728
83759,0.04313378
84381,0.04376807
84709,0.036672976
85024,0.046645798
85026,0.030449774
85671,0.036228947
35158,0.026681717
34851,0.02079153
34853,0.03902577
34859,0.023459287
35162,0.022658309
35165,0.028113404
34865,0.022570532
34877,0.033623554
34898,0.021977693
35203,0.023735713
34902,0.021892803
34907,0.02091611
34930,0.05175284
34939,0.022596998
35249,0.043833837
35561,0.02155027
35568,0.028113404
35572,0.024591494
35574,0.030111613
35575,0.023183504
35889,0.028146563
35583,0.02283221
35587,0.022014476
35597,0.02460218
35900,0.021198995
35602,0.052058555
35606,0.036243975
35922,0.021773808
35936,0.022615703
41020,0.04754181
41028,0.03744008
41344,0.021351488
41666,0.029969446
42319,0.03809007
42634,0.033776175
42944,0.03567244
42952,0.024138924
42954,0.021257097
43274,0.021941379
